ID	MFCCs_1	MFCCs_2	MFCCs_3	MFCCs_4	MFCCs_5	MFCCs_6	MFCCs_7	MFCCs_8	MFCCs_9	MFCCs_10	MFCCs_11	MFCCs_12	MFCCs_13	MFCCs_14	MFCCs_15	MFCCs_16	MFCCs_17	MFCCs_18	MFCCs_19	MFCCs_20	MFCCs_21	MFCCs_22
1	1	0.152936298220384	-0.105585902844019	0.200721914808566	0.317201062343259	0.260763853131077	0.100944640810053	-0.150062604917616	-0.17112763198601	0.124676436148438	0.188654145822323	-0.075621722924477	-0.156435925226375	0.082245115283544	0.135752042383891	-0.024016645028779	-0.108351107221198	-0.077622521403756	-0.009567801519142	0.057683975400796	0.118680135068692	0.01403844567337
2	1	0.171534257314109	-0.09897473712053	0.268425220827017	0.338671862995453	0.268353099863332	0.060835087192045	-0.222474640379244	-0.207692670568256	0.170882873543032	0.27095827998887	-0.095003944527687	-0.254341468381362	0.022786234581434	0.163320101050209	0.012022280864516	-0.090974010803288	-0.056509521919288	-0.035303356812479	0.020139963147802	0.082262986883542	0.029055742163169
3	1	0.152317085189856	-0.082972673872597	0.287127957306532	0.276014083988895	0.189866772581424	0.00871395674902	-0.242234230697363	-0.219153324384574	0.232538316574083	0.266064481907247	-0.072827186682411	-0.237383560939613	0.050790735342509	0.20733840580524	0.08353569910354	-0.05069143007407	-0.02359022918096	-0.066721548914868	-0.025083226773217	0.099108399746325	0.077162384695895
4	1	0.22439244572155	0.118984663992927	0.329431728991851	0.37208800967925	0.36100456768708	0.015501040263697	-0.1943474518771	-0.098180667777822	0.270375424774079	0.267278909389666	-0.162258251525887	-0.317084231097501	-0.011567433434897	0.100412825039324	-0.050223730822007	-0.13600940404278	-0.177037008525031	-0.130498132704666	-0.05476639626023	-0.018691446529289	0.023954308548226
5	1	0.087816909159828	-0.068344887884809	0.306966720688553	0.330922940689476	0.249143914245263	0.006883712971144	-0.265423361986448	-0.172699811727761	0.266434260043502	0.332695149242033	-0.100748543620898	-0.298523875475902	0.037438885320215	0.219152827231289	0.062837229393153	-0.048884618028804	-0.053073507221277	-0.088550403144401	-0.031345572758012	0.108609831720118	0.079244332296933
6	1	0.099703744347309	-0.033407818228754	0.349895055123958	0.344535329026687	0.247568759825133	0.022406957004263	-0.213767158106655	-0.127915977596892	0.277352618080055	0.309861295356038	-0.134527915518185	-0.295122687352635	0.012486022503528	0.180641015837072	0.055241775864523	-0.080487461893062	-0.130089219910283	-0.171477611096457	-0.071569398793307	0.077642954372814	0.064902587169859
7	1	0.021675639081322	-0.062075291453105	0.318229461055719	0.380439101953914	0.179042904800709	-0.041666567659854	-0.252299868762378	-0.167117027668498	0.220027216778489	0.260325776550994	-0.100379096858466	-0.236427973214632	0.027069995999324	0.216923037728799	0.064853199621015	-0.0466202523471	-0.055146118475409	-0.085971746729402	-0.009126820527458	0.065630357793486	0.044040490319617
8	1	0.145130379393796	-0.033660215140274	0.284166085421286	0.279537342192464	0.175210684017332	0.005791472810586	-0.183329275921471	-0.158483127787544	0.192567048841457	0.264184230179013	-0.063748336576612	-0.25098127568612	-0.009015264877853	0.184266221124725	0.075654142857554	-0.055977841197937	-0.048218958742189	-0.056636621114457	-0.022418745186295	0.070084585189837	0.021419358516136
9	1	0.271326131375548	0.027776987056464	0.375738310878494	0.385432287352579	0.272456994451337	0.098192031821493	-0.173729644582851	-0.157856955666402	0.207180655723292	0.269932194283685	-0.122893350201343	-0.282426715957366	-0.044984485471985	0.064425171477149	-0.032167010585841	-0.120722603785949	-0.112607447683261	-0.156933071310349	-0.118527113094033	-0.002471106578712	0.002304210591659
10	1	0.120565353481553	-0.107235174962654	0.316555092116089	0.364436891910481	0.307757415408049	0.025992229638412	-0.294179020077047	-0.223236110214274	0.268434603872369	0.367812726069967	-0.091062389176918	-0.328432872317671	0.042678228145912	0.236484423755943	0.053436255770273	-0.051073474887726	-0.052567619274978	-0.111338100742544	-0.040013930549861	0.090204308705702	0.088025105423332
11	1	0.14853890519219	-0.096909965061844	0.257522969612298	0.260880513427086	0.312603340722219	0.134134308678479	-0.216262303482561	-0.189333991744634	0.261959788869892	0.219708599057176	-0.151473158065167	-0.265781169259542	0.05136219818426	0.221783718490843	0.111883626643831	-0.034082141714952	-0.120715692977453	-0.100800065578553	-0.001991903139571	0.111461670255169	0.103637191394704
12	1	0.27794767159506	0.091656805352648	0.331656333592749	0.307372143137348	0.257359159305863	0.065702273721346	-0.19186010415523	-0.133537483545665	0.220020310464294	0.197528468684333	-0.156835380156482	-0.281641925432156	-0.025145172243866	0.119869689147228	-0.018260384423541	-0.119166587773663	-0.110899642574579	-0.112485127921987	-0.053184061404023	0.044290939872248	-0.011456335974427
13	1	0.106108625774632	-0.025789879344398	0.358874564570307	0.297542579592806	0.244335053295547	0.016446061487333	-0.288732535438387	-0.146730584625737	0.314207255962489	0.321417181554652	-0.133461175037148	-0.28428970620861	0.016204165545808	0.198508737217117	0.078510449954839	-0.062938905737078	-0.071182258217697	-0.066826561190948	-0.028048299108696	0.058352528639449	0.06436801672338
